UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
072058608590,07205860859,108,,ORRINGTON FARMS,ORRINGTON FARMS BASE GRNLR CHKN NAT,6.000,OZ,6,16.380,3.99,Natural Grocery,SS SOUP CHILI B,BOUILLON,SS SOUP CHILI BROTH STOCK BLLN,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000009,6.25,3.500,2.940
072058608644,07205860864,157,,ORRINGTON FARMS,ORRINGTON FARMS BASE GRNLR LS CHKN NAT,5.000,OZ,6,16.380,3.99,Natural Grocery,SS SOUP CHILI B,BOUILLON,SS SOUP CHILI BROTH STOCK BLLN,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000009,6.25,3.500,2.520
072058608651,07205860865,165,,ORRINGTON FARMS,ORRINGTON FARMS BASE GRNLR LS BEEF NAT,5.000,OZ,6,16.380,3.99,Natural Grocery,SS SOUP CHILI B,BOUILLON,SS SOUP CHILI BROTH STOCK BLLN,NATURAL GROCERY,100,ACTIVE,0000009,6.25,3.500,2.520
072058608682,07205860868,193,,ORRINGTON FARMS,ORRINGTON FARMS AU JUS RESTRNT STYL GRNLR,6.000,OZ,6,21.660,5.19,Natural Grocery,SS SOUP CHILI B,BOUILLON,SS SOUP CHILI BROTH STOCK BLLN,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000009,6.25,3.500,2.880
819573011715,81957301171,948,,HAPPY TOT,HAPPY TOT STAGE4 PEAR RSPBRY BTTRN ORG,4.000,OZ,16,26.720,2.39,Natural Grocery,BABY FOOD,PUREES & MASHES,BABY FOOD,NATURAL GROCERY,100,ACTIVE,0000006,9.56,7.000,4.900
064144080045,06414408004,1004,,WHEATENA,WHEATENA CEREAL WHEATENA,20.00,OZ,12,38.760,4.69,Specialty Groce,HOT CEREAL,HOT CEREAL INSTANT,HOT CEREAL,SPECIALTY GROCERY,100,ACTIVE,0000016,7.50,8.000,17.500
064144080373,06414408037,1005,,MAYPO,MAYPO OATMEAL INST MAPLE,14.00,OZ,12,34.680,4.19,Specialty Groce,HOT CEREAL,HOT CEREAL INSTANT,HOT CEREAL,SPECIALTY GROCERY,100,ACTIVE,0000015,7.50,8.000,12.500
819573011739,81957301173,1022,,HAPPY TOT,HAPPY TOT STAGE4 PEAR BLBRY SPNCH ORG,4.000,OZ,16,26.720,2.39,Natural Grocery,BABY FOOD,PUREES & MASHES,BABY FOOD,NATURAL GROCERY,100,ACTIVE,0000006,9.56,7.000,4.900
011152149585,01115214958,1029,,NISHIKI,NISHIKI RICE BROWN,2.000,LB,12,47.400,5.69,Specialty Groce,BEANS GRAINS RI,MAINSTREAM,BEANS GRAINS RICE,SPECIALTY GROCERY,100,ACTIVE,0000019,13.00,9.000,25.440
055712025711,05571202571,1041,,ALPEN,ALPEN CEREAL MUESLI ORGNL W RAISINS,14.00,OZ,12,55.440,6.69,Natural Grocery,COLD CEREAL,GRANOLA & MUESLI,COLD CEREAL,NATURAL GROCERY,100,ACTIVE,0000012,11.42,8.860,12.020
055712025728,05571202572,1042,,ALPEN,ALPEN CEREAL MUESLI NO SGR,14.00,OZ,12,55.440,6.69,Natural Grocery,COLD CEREAL,GRANOLA & MUESLI,COLD CEREAL,NATURAL GROCERY,100,ACTIVE,0000012,11.42,8.860,12.020
070670004998,07067000499,1069,,REESE,REESE CLAM JUICE,8.000,OZ,6,15.180,3.69,Specialty Groce,SS MEAT POULTRY,SHELLFISH,SS MEAT POULTRY SEAFOOD,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000007,5.20,7.250,6.960
074880020021,07488002002,1129,,S & B,S & B PASTE WASABI TUBE PREM,1.520,OZ,10,21.900,3.19,Specialty Groce,CONDIMENTS DRES,AUTHENTIC,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000016,12.00,6.500,13.000
051381912857,05138191285,1147,,AURA CACIA,AURA CACIA ESS OIL EUCALYPTUS LMN,.500,OZ,1,3.670,5.29,Health Body Car,AROMATHERAPY BO,ESSENTIAL OILS,AROMATHERAPY BODY OILS,HEALTH BODY CARE,100,ACTIVE,0000006,4.37,3.500,2.640
047997123053,04799712305,1165,,MAGIC SEASONING,MAGIC SEASONING BLENDS SSNNG BLCKND REDFISH,2.000,OZ,6,16.260,3.89,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000003,5.20,5.400,11.040
047997123206,04799712320,1167,,MAGIC SEASONING,MAGIC SEASONING BLENDS SSNNG SEAFOOD,2.000,OZ,6,16.260,3.89,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000011,7.00,6.000,10.560
047997123350,04799712335,1175,,MAGIC SEASONING,MAGIC SEASONING BLENDS SSNNG BLCKND STEAK,1.800,OZ,6,16.260,3.89,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000011,7.00,6.000,10.560
047997123305,04799712330,1177,,MAGIC SEASONING,MAGIC SEASONING BLENDS SSNNG PORK VEAL,2.000,OZ,6,16.260,3.89,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000011,7.00,6.000,11.040
047997123152,04799712315,1178,,MAGIC SEASONING,MAGIC SEASONING BLENDS SSNNG POULTRY,2.000,OZ,6,16.260,3.89,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000011,7.00,6.000,11.040
047997123251,04799712325,1180,,MAGIC SEASONING,MAGIC SEASONING BLENDS SSNNG VEGETABLE,2.000,OZ,6,16.260,3.89,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000011,7.00,6.000,10.560
070444912085,07044491208,1193,,MRS STEWARTS,MRS STEWARTS MRS. STEWARTS BLUING,8.000,OZ,12,25.200,3.89,General Merchan,CLEANING PRODUC,LIQUID LAUNDRY PRODU,CLEANING PRODUCTS,GENERAL MERCHANDISE,100,ACTIVE,0000010,6.40,7.100,8.040
027443360034,02744336003,1199,,NO SALT SALT AL,NO SALT SALT ALTERNATIVE SALT ALTERNATIVE,11.00,OZ,12,69.720,8.39,Specialty Groce,SPICES SEASONIN,SALT,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000010,7.75,6.000,9.720
072155000051,07215500005,1210,,PICKAPEPPA,PICKAPEPPA SAUCE ORIGINAL,5.000,OZ,6,22.500,5.39,Specialty Groce,CONDIMENTS DRES,HOT SAUCE,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000006,3.94,7.170,4.430
071137012099,07113701209,1211,,HOMADE,HOMADE SAUCE CHILI,12.00,OZ,12,37.560,4.49,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000014,11.00,4.500,14.000
020662000132,02066200013,1233,,NEWMANS OWN,NEWMANS OWN POPCORN MICROWAVE REG,10.50,OZ,12,33.840,4.09,Natural Grocery,CHIPS & PRETZEL,MICROWAVE/UNPOPPED P,CHIPS & PRETZELS,NATURAL GROCERY,100,ACTIVE,0000013,7.80,9.800,10.560
